family, generation, instance_type, ECU, vCPU, physical_processor, clock_speed_ghz, pretty_name, memory, network_performance, FPGA, GPU, storage_devices, storage_ssd, storage_nvme_ssd, storage_size, pricing, entry
Compute optimized,current,c4.xlarge,16,4,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,C4 High-CPU Extra Large,7.5,High,0,0,,,,,0.199,90
Memory optimized,current,x1e.4xlarge,47,16,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,X1E Quadruple Extra Large,488,Up to 10 Gigabit,0,0,1,true,false,480,3.336,90
General purpose,current,m5ad.xlarge,0,4,AMD EPYC 7571,2.5 GHz,M5AD Extra Large,16,Up to 10 Gigabit,0,0,1,true,true,150,0.206,90
Storage optimized,current,i3en.24xlarge,0,96,Intel Xeon Platinum 8175,3.1 GHz,I3EN 24xlarge,768,100 Gigabit,0,0,8,true,true,7500,10.848,90
Compute optimized,current,c5n.18xlarge,0,72,Intel Xeon Platinum 8124M,3.0 Ghz,C5N 18xlarge,192,100 Gigabit,0,0,,,,,3.888,90
General purpose,current,m4.large,6.5,2,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,M4 General Purpose Large,8,Moderate,0,0,,,,,0.1,90
Storage optimized,current,h1.4xlarge,53.5,16,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,H1 Quadruple Extra Large,64,Up to 10 Gigabit,0,0,2,false,false,2000,0.936,90
Memory optimized,current,x1e.xlarge,12,4,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,X1E Extra Large,122,Up to 10 Gigabit,0,0,1,true,false,120,0.834,90
General purpose,current,m5.large,8,2,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose Large,8,Up to 10 Gigabit,0,0,,,,,0.096,90
Compute optimized,current,c5.4xlarge,68,16,Intel Xeon Platinum 8124M,3.0 Ghz,C5 High-CPU Quadruple Extra Large,32,Up to 10 Gigabit,0,0,,,,,0.68,90
General purpose,current,m5d.24xlarge,345,96,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose 24xlarge,384,25 Gigabit,0,0,4,true,true,900,5.424,90
Memory optimized,previous,r3.large,6.5,2,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,R3 High-Memory Large,15.25,Moderate,0,0,1,true,false,32,0.166,90
Compute optimized,current,c4.large,8,2,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,C4 High-CPU Large,3.75,Moderate,0,0,,,,,0.1,90
Memory optimized,current,r5d.xlarge,19,4,Intel Xeon Platinum 8175,,R5D Extra Large,32,10 Gigabit,0,0,1,true,true,150,0.288,90
General purpose,current,m5d.large,8,2,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose Large,8,Up to 10 Gigabit,0,0,1,true,true,75,0.113,90
Memory optimized,current,r5.2xlarge,38,8,Intel Xeon Platinum 8175,,R5 Double Extra Large,64,10 Gigabit,0,0,,,,,0.504,90
