family, generation, instance_type, ECU, vCPU, physical_processor, clock_speed_ghz, pretty_name, memory, network_performance, FPGA, GPU, storage_devices, storage_ssd, storage_nvme_ssd, storage_size, pricing, entry
General purpose,current,t2.nano,variable,1,Intel Xeon family,up to 3.3,T2 Nano,0.5,Low,0,0,,,,,0.0058,73
General purpose,current,t2.micro,variable,1,Intel Xeon family,Up to 3.3,T2 Micro,1,Low to Moderate,0,0,,,,,0.0116,73
General purpose,current,t2.small,variable,1,Intel Xeon family,Up to 3.3,T2 Small,2,Low to Moderate,0,0,,,,,0.023,73
General purpose,current,t2.medium,variable,2,Intel Xeon family,Up to 3.3,T2 Medium,4,Low to Moderate,0,0,,,,,0.0464,73
General purpose,current,t2.large,variable,2,Intel Xeon family,Up to 3.0,T2 Large,8,Low to Moderate,0,0,,,,,0.0928,73
General purpose,current,t2.xlarge,variable,4,Intel Xeon family,Up to 3.0,T2 Extra Large,16,Moderate,0,0,,,,,0.1856,73
General purpose,current,t2.2xlarge,variable,8,Intel Xeon family,Up to 3.0,T2 Double Extra Large,32,Moderate,0,0,,,,,0.3712,73
General purpose,current,m5.large,10,2,Intel Xeon Platinum,2.5,M5 General Purpose Large,8,High,0,0,,,,,0.096,73
General purpose,current,m5.xlarge,15,4,Intel Xeon Platinum,2.5,M5 General Purpose Extra Large,16,High,0,0,,,,,0.192,73
General purpose,current,m5.2xlarge,31,8,Intel Xeon Platinum,2.5,M5 General Purpose Double Extra Large,32,High,0,0,,,,,0.384,73
General purpose,current,m5.4xlarge,61,16,Intel Xeon Platinum,2.5,M5 General Purpose Quadruple Extra Large,64,High,0,0,,,,,0.768,73
General purpose,current,m5.12xlarge,173,48,Intel Xeon Platinum,2.5,M5 General Purpose 12xlarge,192,High,0,0,,,,,2.304,73
General purpose,current,m5.24xlarge,345,96,Intel Xeon Platinum,2.5,M5 General Purpose 24xlarge,384,High,0,0,,,,,4.608,73
General purpose,current,m4.large,6.5,2,Intel Xeon E5-2676 v3**,2.4,M4 General Purpose Large,8,Moderate,0,0,,,,,0.1,73
General purpose,current,m4.xlarge,13,4,Intel Xeon E5-2676 v3**,2.4,M4 General Purpose Extra Large,16,High,0,0,,,,,0.2,73
General purpose,current,m4.2xlarge,26,8,Intel Xeon E5-2676 v3**,2.4,M4 General Purpose Double Extra Large,32,High,0,0,,,,,0.4,73
General purpose,current,m4.4xlarge,53.5,16,Intel Xeon E5-2676 v3**,2.4,M4 General Purpose Quadruple Extra Large,64,High,0,0,,,,,0.8,73
General purpose,current,m4.10xlarge,124.5,40,Intel Xeon E5-2676 v3,2.4,M4 General Purpose Deca Extra Large,160,10 Gigabit,0,0,,,,,2,73
General purpose,current,m4.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3,M4 General Purpose 16xlarge,256,25 Gigabit,0,0,,,,,3.2,73
General purpose,current,m3.medium,3,1,Intel Xeon E5-2670 v2*,2.5,M3 General Purpose Medium,3.75,Moderate,0,0,1,true,false,4,0.067,73
General purpose,current,m3.large,6.5,2,Intel Xeon E5-2670 v2*,2.5,M3 General Purpose Large,7.5,Moderate,0,0,1,true,false,32,0.133,73
General purpose,current,m3.xlarge,13,4,Intel Xeon E5-2670 v2*,2.5,M3 General Purpose Extra Large,15,High,0,0,2,true,false,40,0.266,73
General purpose,current,m3.2xlarge,26,8,Intel Xeon E5-2670 v2*,2.5,M3 General Purpose Double Extra Large,30,High,0,0,2,true,false,80,0.532,73
Compute optimized,current,c5.large,8,2,Intel Xeon Platinum,3,C5 High-CPU Large,4,Up to 10 Gbps,0,0,,,,,0.085,73
Compute optimized,current,c5.xlarge,16,4,Intel Xeon Platinum,3,C5 High-CPU Extra Large,8,Up to 10 Gbps,0,0,,,,,0.17,73
Compute optimized,current,c5.2xlarge,31,8,Intel Xeon Platinum,3,C5 High-CPU Double Extra Large,16,Up to 10 Gbps,0,0,,,,,0.34,73
Compute optimized,current,c5.4xlarge,62,16,Intel Xeon Platinum,3,C5 High-CPU Quadruple Extra Large,32,Up to 10 Gpbs,0,0,,,,,0.68,73
Compute optimized,current,c5.9xlarge,139,36,Intel Xeon Platinum,3,C5 High-CPU 9xlarge,72,10 Gigabit,0,0,,,,,1.53,73
Compute optimized,current,c5.18xlarge,278,72,Intel Xeon Platinum,3,C5 High-CPU 18xlarge,144,25 Gigabit,0,0,,,,,3.06,73
Compute optimized,current,c4.large,8,2,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Large,3.75,Moderate,0,0,,,,,0.1,73
Compute optimized,current,c4.xlarge,16,4,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Extra Large,7.5,High,0,0,,,,,0.199,73
Compute optimized,current,c4.2xlarge,31,8,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Double Extra Large,15,High,0,0,,,,,0.398,73
Compute optimized,current,c4.4xlarge,62,16,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Quadruple Extra Large,30,High,0,0,,,,,0.796,73
Compute optimized,current,c4.8xlarge,132,36,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Eight Extra Large,60,10 Gigabit,0,0,,,,,1.591,73
Compute optimized,current,c3.large,7,2,Intel Xeon E5-2680 v2,2.8,C3 High-CPU Large,3.75,Moderate,0,0,2,true,false,16,0.105,73
Compute optimized,current,c3.xlarge,14,4,Intel Xeon E5-2680 v2,2.8,C3 High-CPU Extra Large,7.5,Moderate,0,0,2,true,false,40,0.21,73
Compute optimized,current,c3.2xlarge,28,8,Intel Xeon E5-2680 v2,2.8,C3 High-CPU Double Extra Large,15,High,0,0,2,true,false,80,0.42,73
Compute optimized,current,c3.4xlarge,55,16,Intel Xeon E5-2680 v2,2.8,C3 High-CPU Quadruple Extra Large,30,High,0,0,2,true,false,160,0.84,73
Compute optimized,current,c3.8xlarge,108,32,Intel Xeon E5-2680 v2,2.8,C3 High-CPU Eight Extra Large,60,10 Gigabit,0,0,2,true,false,320,1.68,73
Memory optimized,current,x1.16xlarge,174.5,64,Intel Xeon E7-8880 v3,2.3,X1 Extra High-Memory 16xlarge,976,10 Gigabit,0,0,1,true,false,1920,6.669,73
Memory optimized,current,x1.32xlarge,349,128,Intel Xeon E7-8880 v3,2.3,X1 Extra High-Memory 32xlarge,1952,25 Gigabit,0,0,2,true,false,1920,13.338,73
Memory optimized,current,x1e.xlarge,12,4,Intel Xeon E7-8880 v3,2.3,X1E Extra Large,122,Up to 10 Gigabit,0,0,1,true,false,120,0.834,73
Memory optimized,current,x1e.2xlarge,23,8,Intel Xeon E7-8880 v3,2.3,X1E Double Extra Large,244,Up to 10 Gigabit,0,0,1,true,false,240,1.668,73
Memory optimized,current,x1e.4xlarge,47,16,Intel Xeon E7-8880 v3,2.3,X1E Quadruple Extra Large,488,Up to 10 Gigabit,0,0,1,true,false,480,3.336,73
Memory optimized,current,x1e.8xlarge,91,32,Intel Xeon E7-8880 v3,2.3,X1E Eight Extra Large,976,Up to 10 Gigabit,0,0,1,true,false,960,6.672,73
Memory optimized,current,x1e.16xlarge,179,64,Intel Xeon E7-8880 v3,2.3,X1E 16xlarge,1952,10 Gigabit,0,0,1,true,false,1920,13.344,73
Memory optimized,current,x1e.32xlarge,340,128,Intel Xeon E7-8880 v3,2.3,X1E 32xlarge,3904,25 Gigabit,0,0,2,true,false,1920,26.688,73
Memory optimized,current,r4.large,7,2,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Large,15.25,Up to 10 Gigabit,0,0,,,,,0.133,73
Memory optimized,current,r4.xlarge,13.5,4,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Extra Large,30.5,Up to 10 Gigabit,0,0,,,,,0.266,73
Memory optimized,current,r4.2xlarge,27,8,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Double Extra Large,61,Up to 10 Gigabit,0,0,,,,,0.532,73
Memory optimized,current,r4.4xlarge,53,16,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Quadruple Extra Large,122,Up to 10 Gigabit,0,0,,,,,1.064,73
Memory optimized,current,r4.8xlarge,99,32,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Eight Extra Large,244,10 Gigabit,0,0,,,,,2.128,73
Memory optimized,current,r4.16xlarge,195,64,Intel Xeon E5-2686 v4,2.3,R4 High-Memory 16xlarge,488,25 Gigabit,0,0,,,,,4.256,73
Memory optimized,current,r3.large,6.5,2,Intel Xeon E5-2670 v2,2.5,R3 High-Memory Large,15.25,Moderate,0,0,1,true,false,32,0.166,73
Memory optimized,current,r3.xlarge,13,4,Intel Xeon E5-2670 v2,2.5,R3 High-Memory Extra Large,30.5,Moderate,0,0,1,true,false,80,0.333,73
Memory optimized,current,r3.2xlarge,26,8,Intel Xeon E5-2670 v2,2.5,R3 High-Memory Double Extra Large,61,High,0,0,1,true,false,160,0.665,73
Memory optimized,current,r3.4xlarge,52,16,Intel Xeon E5-2670 v2,2.5,R3 High-Memory Quadruple Extra Large,122,High,0,0,1,true,false,320,1.33,73
Memory optimized,current,r3.8xlarge,104,32,Intel Xeon E5-2670 v2,2.5,R3 High-Memory Eight Extra Large,244,10 Gigabit,0,0,2,true,false,320,2.66,73
Accelerated computing,current,p3.2xlarge,23.5,8,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),P3 Double Extra Large,61,Up to 10 Gigabit,0,1,,,,,3.06,73
Accelerated computing,current,p3.8xlarge,94,32,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),P3 Eight Extra Large,244,10 Gigabit,0,4,,,,,12.24,73
Accelerated computing,current,p3.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),P3 16xlarge,488,25 Gigabit,0,8,,,,,24.48,73
Accelerated computing,current,p2.xlarge,12,4,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),General Purpose GPU Extra Large,61,High,0,1,,,,,0.9,73
Accelerated computing,current,p2.8xlarge,94,32,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),General Purpose GPU Eight Extra Large,488,10 Gigabit,0,8,,,,,7.2,73
Accelerated computing,current,p2.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),General Purpose GPU 16xlarge,732,25 Gigabit,0,16,,,,,14.4,73
Accelerated computing,current,g3.4xlarge,47,16,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),G3 Quadruple Extra Large,122,Up to 10 Gigabit,0,1,,,,,1.14,73
Accelerated computing,current,g3.8xlarge,94,32,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),G3 Eight Extra Large,244,10 Gigabit,0,2,,,,,2.28,73
Accelerated computing,current,g3.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),G3 16xlarge,488,25 Gigabit,0,4,,,,,4.56,73
Accelerated computing,current,f1.2xlarge,26,8,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),F1 Double Extra Large,122,Up to 10 Gigabit,1,0,1,true,true,470,1.65,73
Accelerated computing,current,f1.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),F1 16xlarge,976,25 Gigabit,8,0,4,true,true,940,13.2,73
Storage optimized,current,h1.2xlarge,26,8,,,H1 Double Extra Large,32,Up to 10 Gigabit,0,0,1,false,false,2000,0.55,73
Storage optimized,current,h1.4xlarge,53.5,16,,,H1 Quadruple Extra Large,64,Up to 10 Gigabit,0,0,2,false,false,2000,1.1,73
Storage optimized,current,h1.8xlarge,99,32,,,H1 Eight Extra Large,128,10 Gigabit,0,0,4,false,false,2000,2.2,73
Storage optimized,current,h1.16xlarge,188,64,,,H1 16xlarge,256,25 Gigabit,0,0,8,false,false,2000,4.4,73
Storage optimized,current,i3.large,7,2,,,I3 High I/O Large,15.25,Up to 10 Gigabit,0,0,1,true,true,475,0.156,73
Storage optimized,current,i3.xlarge,13,4,,,I3 High I/O Extra Large,30.5,Up to 10 Gigabit,0,0,1,true,true,950,0.312,73
Storage optimized,current,i3.2xlarge,27,8,,,I3 High I/O Double Extra Large,61,Up to 10 Gigabit,0,0,1,true,true,1900,0.624,73
Storage optimized,current,i3.4xlarge,53,16,,,I3 High I/O Quadruple Extra Large,122,Up to 10 Gigabit,0,0,2,true,true,1900,1.248,73
Storage optimized,current,i3.8xlarge,99,32,,,I3 High I/O Eight Extra Large,244,10 Gigabit,0,0,4,true,true,1900,2.496,73
Storage optimized,current,i3.16xlarge,200,64,,,I3 High I/O 16xlarge,488,25 Gigabit,0,0,8,true,true,1900,4.992,73
Unknown,current,i3.metal,0,N/A,,,I3 High I/O Metal,512,25 Gigabit,0,0,,,,,,73
Storage optimized,current,d2.xlarge,14,4,,,D2 Extra Large,30.5,Moderate,0,0,3,false,false,2000,0.69,73
Storage optimized,current,d2.2xlarge,28,8,,,D2 Double Extra Large,61,High,0,0,6,false,false,2000,1.38,73
Storage optimized,current,d2.4xlarge,56,16,,,D2 Quadruple Extra Large,122,High,0,0,12,false,false,2000,2.76,73
Storage optimized,current,d2.8xlarge,116,36,,,D2 Eight Extra Large,244,10 Gigabit,0,0,24,false,false,2000,5.52,73
General purpose,previous,m1.small,1,1,,,M1 General Purpose Small,1.7,Low,0,0,1,false,false,160,0.044,74
General purpose,previous,m1.medium,2,1,,,M1 General Purpose Medium,3.75,Moderate,0,0,1,false,false,410,0.087,74
General purpose,previous,m1.large,4,2,,,M1 General Purpose Large,7.5,Moderate,0,0,2,false,false,420,0.175,74
General purpose,previous,m1.xlarge,8,4,,,M1 General Purpose Extra Large,15,High,0,0,4,false,false,420,0.35,74
General purpose,previous,m3.medium,3,1,,,M3 General Purpose Medium,3.75,Moderate,0,0,1,true,false,4,0.067,74
General purpose,previous,m3.large,6.5,2,,,M3 General Purpose Large,7.5,Moderate,0,0,1,true,false,32,0.133,74
General purpose,previous,m3.xlarge,13,4,,,M3 General Purpose Extra Large,15,High,0,0,2,true,false,40,0.266,74
General purpose,previous,m3.2xlarge,26,8,,,M3 General Purpose Double Extra Large,30,High,0,0,2,true,false,80,0.532,74
Compute optimized,previous,c1.medium,5,2,,,C1 High-CPU Medium,1.7,Moderate,0,0,1,false,false,350,0.13,74
Compute optimized,previous,c1.xlarge,20,8,,,C1 High-CPU Extra Large,7,High,0,0,4,false,false,420,0.52,74
Compute optimized,previous,cc2.8xlarge,88,32,,,Cluster Compute Eight Extra Large,60.5,10 Gigabit,0,0,4,false,false,840,2,74
Compute optimized,previous,c3.large,7,2,,,C3 High-CPU Large,3.75,Moderate,0,0,2,true,false,16,0.105,74
Compute optimized,previous,c3.xlarge,14,4,,,C3 High-CPU Extra Large,7.5,Moderate,0,0,2,true,false,40,0.21,74
Compute optimized,previous,c3.2xlarge,28,8,,,C3 High-CPU Double Extra Large,15,High,0,0,2,true,false,80,0.42,74
Compute optimized,previous,c3.4xlarge,55,16,,,C3 High-CPU Quadruple Extra Large,30,High,0,0,2,true,false,160,0.84,74
Compute optimized,previous,c3.8xlarge,108,32,,,C3 High-CPU Eight Extra Large,60,10 Gigabit,0,0,2,true,false,320,1.68,74
GPU optimized,previous,g2.2xlarge,26,8,,,G2 Double Extra Large,15,,0,0,1,true,false,60,0.65,74
GPU optimized,previous,g2.8xlarge,104,32,,,G2 Eight Extra Large,60,,0,0,2,true,false,120,2.6,74
Memory optimized,previous,m2.xlarge,6.5,2,,,M2 High Memory Extra Large,17.1,Moderate,0,0,1,false,false,420,0.245,74
Memory optimized,previous,m2.2xlarge,13,4,,,M2 High Memory Double Extra Large,34.2,Moderate,0,0,1,false,false,850,0.49,74
Memory optimized,previous,m2.4xlarge,26,8,,,M2 High Memory Quadruple Extra Large,68.4,High,0,0,2,false,false,840,0.98,74
Memory optimized,previous,cr1.8xlarge,88,32,,,High Memory Cluster Eight Extra Large,244,10 Gigabit,0,0,2,true,false,120,3.5,74
Memory optimized,previous,r3.large,6.5,2,,,R3 High-Memory Large,15.25,Moderate,0,0,1,true,false,32,0.166,74
Memory optimized,previous,r3.xlarge,13,4,,,R3 High-Memory Extra Large,30.5,Moderate,0,0,1,true,false,80,0.333,74
Memory optimized,previous,r3.2xlarge,26,8,,,R3 High-Memory Double Extra Large,61,High,0,0,1,true,false,160,0.665,74
Memory optimized,previous,r3.4xlarge,52,16,,,R3 High-Memory Quadruple Extra Large,122,High,0,0,1,true,false,320,1.33,74
Memory optimized,previous,r3.8xlarge,104,32,,,R3 High-Memory Eight Extra Large,244,10 Gigabit,0,0,2,true,false,320,2.66,74
Storage optimized,previous,i2.xlarge,14,4,,,I2 Extra Large,30.5,Moderate,0,0,1,true,false,800,0.853,74
Storage optimized,previous,i2.2xlarge,27,8,,,I2 Double Extra Large,61,Moderate,0,0,2,true,false,800,1.705,74
Storage optimized,previous,i2.4xlarge,53,16,,,I2 Quadruple Extra Large,122,High,0,0,4,true,false,800,3.41,74
Storage optimized,previous,i2.8xlarge,104,32,,,I2 Eight Extra Large,244,10 Gigabit,0,0,8,true,false,800,6.82,74
Storage optimized,previous,hs1.8xlarge,35,16,,,High Storage Eight Extra Large,117,10 Gigabit,0,0,24,false,false,2000,4.6,74
Micro,previous,t1.micro,variable,1,,,T1 Micro,0.613,Very Low,0,0,,,,,0.02,74
General purpose,current,t2.nano,variable,1,Intel Xeon family,up to 3.3,T2 Nano,0.5,Low,0,0,,,,,0.0058,74
General purpose,current,t2.micro,variable,1,Intel Xeon family,Up to 3.3,T2 Micro,1,Low to Moderate,0,0,,,,,0.0116,74
General purpose,current,t2.small,variable,1,Intel Xeon family,Up to 3.3,T2 Small,2,Low to Moderate,0,0,,,,,0.023,74
General purpose,current,t2.medium,variable,2,Intel Xeon family,Up to 3.3,T2 Medium,4,Low to Moderate,0,0,,,,,0.0464,74
General purpose,current,t2.large,variable,2,Intel Xeon family,Up to 3.0,T2 Large,8,Low to Moderate,0,0,,,,,0.0928,74
General purpose,current,t2.xlarge,variable,4,Intel Xeon family,Up to 3.0,T2 Extra Large,16,Moderate,0,0,,,,,0.1856,74
General purpose,current,t2.2xlarge,variable,8,Intel Xeon family,Up to 3.0,T2 Double Extra Large,32,Moderate,0,0,,,,,0.3712,74
General purpose,current,m5.large,10,2,Intel Xeon Platinum,2.5,M5 General Purpose Large,8,High,0,0,,,,,0.096,74
General purpose,current,m5.xlarge,15,4,Intel Xeon Platinum,2.5,M5 General Purpose Extra Large,16,High,0,0,,,,,0.192,74
General purpose,current,m5.2xlarge,31,8,Intel Xeon Platinum,2.5,M5 General Purpose Double Extra Large,32,High,0,0,,,,,0.384,74
General purpose,current,m5.4xlarge,61,16,Intel Xeon Platinum,2.5,M5 General Purpose Quadruple Extra Large,64,High,0,0,,,,,0.768,74
General purpose,current,m5.12xlarge,173,48,Intel Xeon Platinum,2.5,M5 General Purpose 12xlarge,192,10 Gigabit,0,0,,,,,2.304,74
General purpose,current,m5.24xlarge,345,96,Intel Xeon Platinum,2.5,M5 General Purpose 24xlarge,384,25 Gigabit,0,0,,,,,4.608,74
General purpose,current,m4.large,6.5,2,Intel Xeon E5-2676 v3*,2.4,M4 General Purpose Large,8,Moderate,0,0,,,,,0.1,74
General purpose,current,m4.xlarge,13,4,Intel Xeon E5-2676 v3*,2.4,M4 General Purpose Extra Large,16,High,0,0,,,,,0.2,74
General purpose,current,m4.2xlarge,26,8,Intel Xeon E5-2676 v3*,2.4,M4 General Purpose Double Extra Large,32,High,0,0,,,,,0.4,74
General purpose,current,m4.4xlarge,53.5,16,Intel Xeon E5-2676 v3*,2.4,M4 General Purpose Quadruple Extra Large,64,High,0,0,,,,,0.8,74
General purpose,current,m4.10xlarge,124.5,40,Intel Xeon E5-2676 v3,2.4,M4 General Purpose Deca Extra Large,160,10 Gigabit,0,0,,,,,2,74
General purpose,current,m4.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3,M4 General Purpose 16xlarge,256,25 Gigabit,0,0,,,,,3.2,74
Compute optimized,current,c5.large,8,2,Intel Xeon Platinum,3,C5 High-CPU Large,4,Up to 10 Gbps,0,0,,,,,0.085,74
Compute optimized,current,c5.xlarge,16,4,Intel Xeon Platinum,3,C5 High-CPU Extra Large,8,Up to 10 Gbps,0,0,,,,,0.17,74
Compute optimized,current,c5.2xlarge,31,8,Intel Xeon Platinum,3,C5 High-CPU Double Extra Large,16,Up to 10 Gbps,0,0,,,,,0.34,74
Compute optimized,current,c5.4xlarge,62,16,Intel Xeon Platinum,3,C5 High-CPU Quadruple Extra Large,32,Up to 10 Gpbs,0,0,,,,,0.68,74
Compute optimized,current,c5.9xlarge,139,36,Intel Xeon Platinum,3,C5 High-CPU 9xlarge,72,10 Gigabit,0,0,,,,,1.53,74
Compute optimized,current,c5.18xlarge,278,72,Intel Xeon Platinum,3,C5 High-CPU 18xlarge,144,25 Gigabit,0,0,,,,,3.06,74
Compute optimized,current,c4.large,8,2,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Large,3.75,Moderate,0,0,,,,,0.1,74
Compute optimized,current,c4.xlarge,16,4,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Extra Large,7.5,High,0,0,,,,,0.199,74
Compute optimized,current,c4.2xlarge,31,8,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Double Extra Large,15,High,0,0,,,,,0.398,74
Compute optimized,current,c4.4xlarge,62,16,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Quadruple Extra Large,30,High,0,0,,,,,0.796,74
Compute optimized,current,c4.8xlarge,132,36,Intel Xeon E5-2666 v3,2.9,C4 High-CPU Eight Extra Large,60,10 Gigabit,0,0,,,,,1.591,74
Memory optimized,current,x1.16xlarge,174.5,64,Intel Xeon E7-8880 v3,2.3,X1 Extra High-Memory 16xlarge,976,10 Gigabit,0,0,1,true,false,1920,6.669,74
Memory optimized,current,x1.32xlarge,349,128,Intel Xeon E7-8880 v3,2.3,X1 Extra High-Memory 32xlarge,1952,25 Gigabit,0,0,2,true,false,1920,13.338,74
Memory optimized,current,x1e.xlarge,12,4,Intel Xeon E7-8880 v3,2.3,X1E Extra Large,122,Up to 10 Gigabit,0,0,1,true,false,120,0.834,74
Memory optimized,current,x1e.2xlarge,23,8,Intel Xeon E7-8880 v3,2.3,X1E Double Extra Large,244,Up to 10 Gigabit,0,0,1,true,false,240,1.668,74
Memory optimized,current,x1e.4xlarge,47,16,Intel Xeon E7-8880 v3,2.3,X1E Quadruple Extra Large,488,Up to 10 Gigabit,0,0,1,true,false,480,3.336,74
Memory optimized,current,x1e.8xlarge,91,32,Intel Xeon E7-8880 v3,2.3,X1E Eight Extra Large,976,Up to 10 Gigabit,0,0,1,true,false,960,6.672,74
Memory optimized,current,x1e.16xlarge,179,64,Intel Xeon E7-8880 v3,2.3,X1E 16xlarge,1952,10 Gigabit,0,0,1,true,false,1920,13.344,74
Memory optimized,current,x1e.32xlarge,340,128,Intel Xeon E7-8880 v3,2.3,X1E 32xlarge,3904,25 Gigabit,0,0,2,true,false,1920,26.688,74
Memory optimized,current,r4.large,7,2,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Large,15.25,Up to 10 Gigabit,0,0,,,,,0.133,74
Memory optimized,current,r4.xlarge,13.5,4,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Extra Large,30.5,Up to 10 Gigabit,0,0,,,,,0.266,74
Memory optimized,current,r4.2xlarge,27,8,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Double Extra Large,61,Up to 10 Gigabit,0,0,,,,,0.532,74
Memory optimized,current,r4.4xlarge,53,16,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Quadruple Extra Large,122,Up to 10 Gigabit,0,0,,,,,1.064,74
Memory optimized,current,r4.8xlarge,99,32,Intel Xeon E5-2686 v4,2.3,R4 High-Memory Eight Extra Large,244,10 Gigabit,0,0,,,,,2.128,74
Memory optimized,current,r4.16xlarge,195,64,Intel Xeon E5-2686 v4,2.3,R4 High-Memory 16xlarge,488,25 Gigabit,0,0,,,,,4.256,74
Accelerated computing,current,p3.2xlarge,23.5,8,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),P3 Double Extra Large,61,Up to 10 Gigabit,0,1,,,,,3.06,74
Accelerated computing,current,p3.8xlarge,94,32,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),P3 Eight Extra Large,244,10 Gigabit,0,4,,,,,12.24,74
Accelerated computing,current,p3.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),P3 16xlarge,488,25 Gigabit,0,8,,,,,24.48,74
Accelerated computing,current,p2.xlarge,12,4,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),General Purpose GPU Extra Large,61,High,0,1,,,,,0.9,74
Accelerated computing,current,p2.8xlarge,94,32,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),General Purpose GPU Eight Extra Large,488,10 Gigabit,0,8,,,,,7.2,74
Accelerated computing,current,p2.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),General Purpose GPU 16xlarge,732,25 Gigabit,0,16,,,,,14.4,74
Accelerated computing,current,g3.4xlarge,47,16,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),G3 Quadruple Extra Large,122,Up to 10 Gigabit,0,1,,,,,1.14,74
Accelerated computing,current,g3.8xlarge,94,32,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),G3 Eight Extra Large,244,10 Gigabit,0,2,,,,,2.28,74
Accelerated computing,current,g3.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),G3 16xlarge,488,25 Gigabit,0,4,,,,,4.56,74
Accelerated computing,current,f1.2xlarge,26,8,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),F1 Double Extra Large,122,Up to 10 Gigabit,1,0,1,true,true,470,1.65,74
Accelerated computing,current,f1.16xlarge,188,64,Intel Xeon E5-2686 v4,2.3 (base) 2.7 (turbo),F1 16xlarge,976,25 Gigabit,8,0,4,true,true,940,13.2,74
Storage optimized,current,h1.2xlarge,26,8,,,H1 Double Extra Large,32,Up to 10 Gigabit,0,0,1,false,false,2000,0.55,74
Storage optimized,current,h1.4xlarge,53.5,16,,,H1 Quadruple Extra Large,64,Up to 10 Gigabit,0,0,2,false,false,2000,1.1,74
Storage optimized,current,h1.8xlarge,99,32,,,H1 Eight Extra Large,128,10 Gigabit,0,0,4,false,false,2000,2.2,74
Storage optimized,current,h1.16xlarge,188,64,,,H1 16xlarge,256,25 Gigabit,0,0,8,false,false,2000,4.4,74
Storage optimized,current,i3.large,7,2,,,I3 High I/O Large,15.25,Up to 10 Gigabit,0,0,1,true,true,475,0.156,74
Storage optimized,current,i3.xlarge,13,4,,,I3 High I/O Extra Large,30.5,Up to 10 Gigabit,0,0,1,true,true,950,0.312,74
Storage optimized,current,i3.2xlarge,27,8,,,I3 High I/O Double Extra Large,61,Up to 10 Gigabit,0,0,1,true,true,1900,0.624,74
Storage optimized,current,i3.4xlarge,53,16,,,I3 High I/O Quadruple Extra Large,122,Up to 10 Gigabit,0,0,2,true,true,1900,1.248,74
Storage optimized,current,i3.8xlarge,99,32,,,I3 High I/O Eight Extra Large,244,10 Gigabit,0,0,4,true,true,1900,2.496,74
Storage optimized,current,i3.16xlarge,200,64,,,I3 High I/O 16xlarge,488,25 Gigabit,0,0,8,true,true,1900,4.992,74
Unknown,current,i3.metal,0,N/A,,,I3 High I/O Metal,512,25 Gigabit,0,0,,,,,,74
Storage optimized,current,d2.xlarge,14,4,,,D2 Extra Large,30.5,Moderate,0,0,3,false,false,2000,0.69,74
Storage optimized,current,d2.2xlarge,28,8,,,D2 Double Extra Large,61,High,0,0,6,false,false,2000,1.38,74
Storage optimized,current,d2.4xlarge,56,16,,,D2 Quadruple Extra Large,122,High,0,0,12,false,false,2000,2.76,74
